接口编号,工具形式,管路安装阶段结果,螺母扳手或套筒方位_deg,反力扳手方位_deg,采用独立夹角,最少遮挡姿态中的零件
HX.MO,双开口扳手,未找到无碰撞包络姿态,330,150,否,双壁液液隔离（HX-301） [Isolation]；散热旁通三通（TV-302） [TV2]；活接固定端与反力六角（HX.BI） [UnionBody_HX_BI]；活接可旋转螺母（HX.BI） [UnionNut_HX_BI]；主冷却液管路034｜TV-301·余热分配三通—TV-302·散热旁通三通 [Pipe034]；主冷却液管路015｜TV-301·余热分配三通—HX-301·双壁液液隔离 [Pipe015]
HX.BI,双开口扳手,未找到无碰撞包络姿态,150,330,否,双壁液液隔离（HX-301） [Isolation]；活接固定端与反力六角（HX.MO） [UnionBody_HX_MO]；活接可旋转螺母（HX.MO） [UnionNut_HX_MO]；活接固定端与反力六角（HX.BO） [UnionBody_HX_BO]；活接管侧端与承压凸缘（HX.BO） [UnionTail_HX_BO]；活接端面密封圈（HX.BO） [UnionSeal_HX_BO]；活接可旋转螺母（HX.BO） [UnionNut_HX_BO]；空气管路002｜CP-101·独立切向出风接管—HX-101·板翅空气调温器 [Pipe002]
HX.BO,双开口扳手,未找到无碰撞包络姿态,150,330,否,双壁液液隔离（HX-301） [Isolation]；活接固定端与反力六角（HX.BI） [UnionBody_HX_BI]；活接可旋转螺母（HX.BI） [UnionNut_HX_BI]
TV1.I,双开口扳手,找到无碰撞包络姿态,120,300,否,
TV1.HX,双开口扳手,未找到无碰撞包络姿态,90,270,否,主液热供分配（CH-301） [HotHeader]；分层安装托板_散热旁通三通（TV-302） [Subtray_TV2]
TV1.BY,双开口扳手,未找到无碰撞包络姿态,105,285,否,分层安装托板_散热旁通三通（TV-302） [Subtray_TV2]
TV2.I,双开口扳手,找到无碰撞包络姿态,75,345,是,
TV2.RAD,双开口扳手,未找到无碰撞包络姿态,330,150,否,散热旁通三通（TV-302） [TV2]；侧水室与框架·前后通风（R-301） [Radiator]；活接固定端与反力六角（TV2.BY） [UnionBody_TV2_BY]；活接可旋转螺母（TV2.BY） [UnionNut_TV2_BY]；活接可旋转螺母（TV2.SHORT） [UnionNut_TV2_SHORT]
TV2.BY,双开口扳手,未找到无碰撞包络姿态,240,60,否,80根中空扁管·4排×20层（R-301） [RadiatorFlatTubes]；19层波纹翅片·0.18mm厚·10mm节距（R-301） [RadiatorCorrugatedFins]；主冷却液管路015｜TV-301·余热分配三通—HX-301·双壁液液隔离 [Pipe015]
TKM.FILL,双开口扳手,找到无碰撞包络姿态,135,315,否,
TKM.RET,双开口扳手,找到无碰撞包络姿态,45,225,否,
TKB.FILL,双开口扳手,未找到无碰撞包络姿态,315,135,否,氢气管路011｜HCP-201·湿氢循环泵—H2-201·低压缓冲计量切断 [Pipe011]；储氢床冷却液管路045｜BS-401·床路选择阀组—固态储氢模块（MH203） [Pipe045]
TKB.RET,双开口扳手,未找到无碰撞包络姿态,150,330,否,双级减压·切断·比例·止回（REG-206） [Reg206]
DI.I,双开口扳手,未找到无碰撞包络姿态,15,195,否,去离子旁路（DI-301） [DI]；氢气管路010｜SEP-201·伴热阳极分水器—HCP-201·湿氢循环泵 [Pipe010]；氢气管路040｜XV/PCV/CV-202·床支路隔离比例止回—HM-201·六路止回合流 [Pipe040]；氢气管路011｜HCP-201·湿氢循环泵—H2-201·低压缓冲计量切断 [Pipe011]；氢气管路036｜XV/PCV/CV-201·床支路隔离比例止回—HM-201·六路止回合流 [Pipe036]
DI.O,双开口扳手,未找到无碰撞包络姿态,15,195,否,氢气管路040｜XV/PCV/CV-202·床支路隔离比例止回—HM-201·六路止回合流 [Pipe040]；氢气管路011｜HCP-201·湿氢循环泵—H2-201·低压缓冲计量切断 [Pipe011]；氢气管路036｜XV/PCV/CV-201·床支路隔离比例止回—HM-201·六路止回合流 [Pipe036]
HOT.IN,双开口扳手,找到无碰撞包络姿态,120,30,是,
HOT.TV1,双开口扳手,未找到无碰撞包络姿态,135,315,否,主液热供分配（CH-301） [HotHeader]；活接固定端与反力六角（HOT.DI） [UnionBody_HOT_DI]；活接可旋转螺母（HOT.DI） [UnionNut_HOT_DI]
HOT.AH,双开口扳手,未找到无碰撞包络姿态,135,315,否,主冷却液管路025｜HX-201·双壁氢伴热器—CR-301·主液回流汇集 [Pipe025]
HOT.HH,双开口扳手,未找到无碰撞包络姿态,45,225,否,70节电堆·端板拉杆（STK-101） [Stack]
HOT.SEP,双开口扳手,未找到无碰撞包络姿态,45,225,否,活接可旋转螺母（HOT.IN） [UnionNut_HOT_IN]；主冷却液管路034｜TV-301·余热分配三通—TV-302·散热旁通三通 [Pipe034]
HOT.DI,双开口扳手,未找到无碰撞包络姿态,75,255,否,70节电堆·端板拉杆（STK-101） [Stack]；低压缓冲计量切断（H2-201） [Mix]
RET.MP,双开口扳手,未找到无碰撞包络姿态,45,225,否,板翅空气调温器（HX-101） [AirHX]；主液回流汇集（CR-301） [ReturnHeader]；活接固定端与反力六角（RET.HH） [UnionBody_RET_HH]；活接可旋转螺母（RET.HH） [UnionNut_RET_HH]
